sectionID,section,subsection,description,category,cwe_ids,nist_refs,pci_refs,hyperlink
KAFKA-AUTH-011,SASL Authentication,OAuth Token Lifetime,"Use short-lived OAuth/OIDC tokens for SASL/OAUTHBEARER; validate issuer/audience and refresh tokens to reduce credential exposure.",Authentication,"287,522","IA-5,IA-8",8.2,https://conduktor.io/glossary/kafka-authentication-sasl-ssl-oauth
KAFKA-AUTH-012,Credential Management,Per-Tenant Principals,"Use unique principals and client IDs per application or tenant to support isolation, auditability, and per-tenant quotas.",Authentication,"287,306","IA-2,IA-5",8.2,https://conduktor.io/glossary/multi-tenancy-in-kafka-environments
KAFKA-ENC-001,Encryption in Transit,Inter-Broker TLS,"Enable TLS encryption between brokers using security.inter.broker.protocol=SSL or SASL_SSL. Prevents network sniffing of replication traffic.",Encryption,"319,311","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#security_ssl
KAFKA-ENC-002,Encryption in Transit,Client-Broker TLS,"Configure listeners with SSL:// or SASL_SSL:// protocol. Encrypt all producer and consumer traffic.",Encryption,"319,311","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#security_configbroker
KAFKA-ENC-003,Encryption in Transit,ZooKeeper TLS,"Enable TLS for broker-to-ZooKeeper communication using zookeeper.ssl.client.enable=true.",Encryption,"319,311","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#zk_authz_new_mtls
KAFKA-ENC-004,Encryption at Rest,Disk Encryption,"Enable filesystem-level or disk-level encryption for Kafka log directories. Use dm-crypt, LUKS, or cloud provider encryption.",Encryption,"311,312","SC-28",3.4,https://kafka.apache.org/documentation/#brokerconfigs_log.dirs
KAFKA-ENC-005,Encryption Configuration,TLS Protocol Version,"Enforce TLS 1.2 or 1.3 minimum using ssl.enabled.protocols. Disable older vulnerable protocols (SSLv3, TLS 1.0, 1.1).",Encryption,"326,327","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#brokerconfigs_ssl.enabled.protocols
KAFKA-ENC-006,Encryption Configuration,Cipher Suite Selection,"Configure strong cipher suites using ssl.cipher.suites. Prioritize AEAD ciphers (GCM, ChaCha20-Poly1305).",Encryption,"326,327","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#brokerconfigs_ssl.cipher.suites
KAFKA-ENC-007,Certificate Management,CA Certificate Validation,"Configure ssl.truststore with trusted CA certificates. Validate certificate chains to prevent MITM attacks.",Encryption,"295,296,297","SC-17,SC-12",4.1,https://kafka.apache.org/documentation/#security_ssl
KAFKA-ENC-008,Certificate Management,Hostname Verification,"Enable ssl.endpoint.identification.algorithm=https to verify broker hostnames match certificates.",Encryption,"295,297","SC-17",4.1,https://kafka.apache.org/documentation/#brokerconfigs_ssl.endpoint.identification.algorithm
KAFKA-ENC-009,Certificate Management,Certificate Revocation Checking,"Enable CRL/OCSP checking via JVM properties: -Dcom.sun.net.ssl.checkRevocation=true -Dcom.sun.security.enableCRLDP=true. This is JVM-level configuration, not Kafka broker configuration.",Encryption,"295,297","SC-17,IA-5",4.1,https://kafka.apache.org/documentation/#security_ssl
KAFKA-ACL-001,Topic ACLs,Read Authorization,"Configure ACLs to restrict topic read access using kafka-acls.sh --operation Read. Apply principle of least privilege.",Authorization,"862,863","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-002,Topic ACLs,Write Authorization,"Configure ACLs to restrict topic write access using kafka-acls.sh --operation Write. Prevent unauthorized data injection.",Authorization,"862,863","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-003,Topic ACLs,Create/Delete Authorization,"Restrict topic creation and deletion to administrators. Prevent unauthorized schema changes.",Authorization,"862,863,269","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-004,Consumer Group ACLs,Group Read Access,"Configure ACLs for consumer group access. Restrict which consumers can join specific groups.",Authorization,"862","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-005,Cluster ACLs,Cluster Operations,"Restrict cluster-level operations (AlterConfigs, DescribeConfigs) to administrators only.",Authorization,"862,269","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-006,ACL Management,Default Deny Policy,"Configure allow.everyone.if.no.acl.found=false to deny access when no ACL matches.",Authorization,"862,284","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#brokerconfigs_allow.everyone.if.no.acl.found
KAFKA-ACL-007,ACL Management,Prefix-Based ACLs,"Use prefixed resource patterns for scalable ACL management. Define patterns like 'myapp-*' for topic groups.",Authorization,"862,863","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-008,Transaction ACLs,Transactional ID Authorization,"Configure ACLs for transactional producers using --transactional-id. Prevent transaction ID hijacking.",Authorization,"862,639","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-009,Idempotent Producer,Idempotent Authorization,"Configure ACLs for idempotent producers using IdempotentWrite operation.",Authorization,"862","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-010,ACL Management,Authorizer Enablement,"Enable the ACL authorizer: ZooKeeper mode uses authorizer.class.name=kafka.security.authorizer.AclAuthorizer; KRaft mode uses authorizer.class.name=org.apache.kafka.metadata.authorizer.StandardAuthorizer.",Authorization,"862,284","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-011,ACL Management,Super Users,"Define super.users for break-glass administration and restrict membership to trusted identities.",Authorization,"269,862","AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-012,Topic ACLs,Internal Topics Protection,"Apply ACLs to internal topics (__consumer_offsets, __transaction_state, _schemas) to restrict access.",Authorization,"862,284","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security_authz
KAFKA-ACL-013,ACL Management,Avoid Wildcard ACLs,"Avoid wildcard (*) ACLs in production; prefer explicit or prefixed resource patterns per team to minimize overbroad access.",Authorization,"862,284","AC-3,AC-6",7.1,https://conduktor.io/glossary/access-control-for-streaming
KAFKA-ACL-014,ACL Management,Access Recertification,"Review ACLs periodically to remove unused permissions and validate least-privilege access.",Authorization,"862,269","AC-2,AC-6",7.1,https://conduktor.io/glossary/access-control-for-streaming
KAFKA-ACL-015,ACL Management,Policy-Based Authorization,"Implement RBAC/ABAC policies via external authorizers or IDP claims for attribute-based access beyond static ACLs.",Authorization,"862,284","AC-3,AC-6",7.1,https://conduktor.io/glossary/data-access-control-rbac-and-abac
KAFKA-AUDIT-001,Audit Logging,Authorization Audit,"Enable authorizer logging to track ACL decisions. Configure log4j.logger.kafka.authorizer.logger=INFO to capture allow/deny decisions with principal, resource, and operation.",Audit,"778,223","AU-2,AU-3,AU-12",10.2,https://kafka.apache.org/documentation/#security_authz
KAFKA-AUDIT-002,Audit Logging,Authentication Audit,"Log authentication successes and failures. Monitor for brute force attempts.",Audit,"778,223","AU-2,AU-3,AU-12",10.2,https://kafka.apache.org/documentation/#security_sasl
KAFKA-AUDIT-003,Audit Logging,Request Logging,"Enable request logging to track all client operations. Configure kafka.request.logger.",Audit,"778,223","AU-2,AU-3,AU-12",10.2,https://kafka.apache.org/documentation/#brokerconfigs
KAFKA-AUDIT-004,Audit Logging,Log Retention,"Configure appropriate Log4j log retention for audit compliance. Protect audit logs with restricted file permissions and forward to centralized logging.",Audit,"778","AU-4,AU-9,AU-11",10.5,https://kafka.apache.org/documentation/#brokerconfigs
KAFKA-AUDIT-005,Audit Logging,ACL and Config Change Audit,"Log and review ACL changes and dynamic config updates (AlterConfigs) and forward to SIEM.",Audit,"778,223","AU-2,AU-3,AU-12",10.2,https://kafka.apache.org/documentation/#security_authz
KAFKA-AUDIT-006,Audit Logging,Log Integrity and Forwarding,"Forward audit logs to centralized storage (Splunk, ELK, SIEM) and protect integrity with WORM storage or restricted access controls.",Audit,"778","AU-4,AU-9",10.5,https://kafka.apache.org/documentation/#brokerconfigs
KAFKA-AUDIT-007,Audit Logging,Schema Registry Changes,"Audit schema registrations, compatibility changes, and deletions in Schema Registry.",Audit,"778,223","AU-2,AU-3,AU-12",10.2,https://conduktor.io/glossary/audit-logging-for-streaming-platforms
KAFKA-AUDIT-008,Audit Logging,Connect Connector Changes,"Audit Kafka Connect connector create/update/pause/delete operations and task failures.",Audit,"778,223","AU-2,AU-3,AU-12",10.2,https://conduktor.io/glossary/audit-logging-for-streaming-platforms
KAFKA-AUDIT-009,Audit Logging,Consumer Group Offset Changes,"Audit consumer group offset resets/deletions and group membership changes.",Audit,"778,223","AU-2,AU-3,AU-12",10.2,https://conduktor.io/glossary/audit-logging-for-streaming-platforms
KAFKA-AUDIT-010,Audit Logging,Data Operations Audit,"Capture audit events for produce/consume/subscribe actions with principal, clientId, source IP, and outcome; store in append-only audit topics with restricted delete ACLs and extended retention.",Audit,"778,223","AU-2,AU-12",10.2,https://conduktor.io/glossary/streaming-audit-logs
KAFKA-AVAIL-001,High Availability,Replication and ISR,"Set replication.factor >= 3 and min.insync.replicas >= 2 on critical topics, and require producers acks=all to prevent data loss during broker failures.",Availability,,"CP-2,CP-10",,https://conduktor.io/glossary/disaster-recovery-strategies-for-kafka-clusters
KAFKA-AVAIL-002,Disaster Recovery,Cross-Cluster Replication,"Implement cross-cluster replication (MirrorMaker 2) for critical topics; enable sync.group.offsets, sync.topic.configs, and sync.topic.acls for failover readiness.",Availability,,"CP-6,CP-10",,https://conduktor.io/glossary/kafka-mirrormaker-2-for-cross-cluster-replication
KAFKA-AVAIL-003,Disaster Recovery,Failover Drills,"Document RTO/RPO, run periodic failover drills, and verify restore of Kafka metadata, schemas, and offsets.",Availability,,"CP-2,CP-4,CP-10",,https://conduktor.io/glossary/disaster-recovery-strategies-for-kafka-clusters
KAFKA-QUOTA-001,Resource Quotas,Producer Byte Rate,"Configure producer_byte_rate quota to prevent resource exhaustion from malicious or misconfigured producers.",Availability,"770","SC-5,SC-6",,https://kafka.apache.org/documentation/#design_quotas
KAFKA-QUOTA-002,Resource Quotas,Consumer Byte Rate,"Configure consumer_byte_rate quota to prevent denial of service through excessive consumption.",Availability,"770","SC-5,SC-6",,https://kafka.apache.org/documentation/#design_quotas
KAFKA-QUOTA-003,Resource Quotas,Request Rate,"Configure request_percentage quota to limit CPU usage per client.",Availability,"770","SC-5,SC-6",,https://kafka.apache.org/documentation/#design_quotas
KAFKA-QUOTA-004,Resource Quotas,Connection Rate,"Configure max.connections.per.ip to prevent connection exhaustion attacks.",Availability,"770,799","SC-5,SC-6",,https://kafka.apache.org/documentation/#brokerconfigs_max.connections.per.ip
KAFKA-QUOTA-005,Resource Quotas,Request Size Limits,"Set max.request.size, socket.request.max.bytes, and replica.fetch.max.bytes to cap request payloads and prevent memory exhaustion.",Availability,"770","SC-5,SC-6",,https://kafka.apache.org/documentation/#brokerconfigs
KAFKA-QUOTA-006,Resource Quotas,Controller Mutation Rate,"Set controller_mutation_rate quotas in KRaft to limit metadata changes (topic creation, ACL updates). Available in Kafka 3.0+.",Availability,"770","SC-5,SC-6",,https://conduktor.io/glossary/quotas-and-rate-limiting-in-kafka
KAFKA-QUOTA-007,Resource Quotas,Connection Creation Rate,"Configure connection_creation_rate quotas to throttle new connections and mitigate connection storms. Available in Kafka 2.8+.",Availability,"770,799","SC-5,SC-6",,https://conduktor.io/glossary/quotas-and-rate-limiting-in-kafka
KAFKA-QUOTA-008,Resource Quotas,IP-Based Quotas,"Apply per-IP quotas (entity-type ips) for producer/consumer rates to limit unauthenticated abuse.",Availability,"770","SC-5,SC-6",,https://conduktor.io/glossary/quotas-and-rate-limiting-in-kafka
KAFKA-NET-001,Network Security,Listener Isolation,"Configure separate listeners for internal and external traffic. Use different security protocols per listener.",Network Security,"284,923","SC-7,AC-4",1.3,https://kafka.apache.org/documentation/#brokerconfigs_listeners
KAFKA-NET-002,Network Security,Advertised Listeners,"Configure advertised.listeners correctly to prevent exposing internal addresses externally.",Network Security,"284,200","SC-7,AC-4",1.3,https://kafka.apache.org/documentation/#brokerconfigs_advertised.listeners
KAFKA-NET-003,Network Security,Network Segmentation,"Deploy Kafka in isolated network segments. Use firewall rules to restrict access to broker ports.",Network Security,"284,923","SC-7,AC-4",1.3,https://kafka.apache.org/documentation/#security
KAFKA-NET-004,Network Security,Disable PLAINTEXT Listeners,"Remove PLAINTEXT listeners; use SSL or SASL_SSL for all listeners to prevent cleartext traffic.",Network Security,"319,311","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#brokerconfigs_listeners
KAFKA-NET-005,Network Security,Trust Zones,"Isolate sensitive data into dedicated clusters or network zones and control cross-zone data flows with sanitization pipelines.",Network Security,"284,923","SC-7,AC-4",1.3,https://conduktor.io/glossary/trust-zones-streaming
KAFKA-ZK-001,ZooKeeper Security,ZooKeeper ACLs,"Enable ZooKeeper ACLs using zookeeper.set.acl=true. Prevent unauthorized metadata access.",Infrastructure,"284,862","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#zk_authz
KAFKA-ZK-002,ZooKeeper Security,ZooKeeper SASL,"Configure SASL authentication for ZooKeeper using zookeeper.sasl.client=true.",Infrastructure,"287,306","IA-2,IA-5",8.2,https://kafka.apache.org/documentation/#zk_authz_sasl
KAFKA-ZK-003,ZooKeeper Security,ZooKeeper mTLS,"Enable mTLS for ZooKeeper connections. Configure zookeeper.ssl.client.enable=true.",Infrastructure,"319,287","SC-8,IA-2",4.1,https://kafka.apache.org/documentation/#zk_authz_new_mtls
KAFKA-ZK-004,ZooKeeper Security,Restrict Four-Letter Commands,"Restrict ZooKeeper 4lw commands with 4lw.commands.whitelist to reduce information exposure and unsafe operations.",Infrastructure,"200,749","CM-7",2.2,https://zookeeper.apache.org/doc/current/zookeeperAdmin.html#sc_zkCommands
KAFKA-KRAFT-001,KRaft Security,Controller Authentication,"Configure SASL or mTLS authentication for KRaft controllers.",Infrastructure,"287,306","IA-2,IA-5",8.2,https://kafka.apache.org/documentation/#kraft_security
KAFKA-KRAFT-002,KRaft Security,Controller Encryption,"Enable TLS encryption for controller-to-broker communication.",Infrastructure,"319,311","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#kraft_security
KAFKA-CONNECT-001,Kafka Connect Security,Connect Authentication,"Enable authentication for Kafka Connect REST API and worker communication.",Ecosystem,"287,306","IA-2,IA-5",8.2,https://kafka.apache.org/documentation/#connect_security
KAFKA-CONNECT-002,Kafka Connect Security,Connector Secrets,"Use ConfigProvider to externalize secrets. Never store credentials in connector configs.",Ecosystem,"522,798,312","IA-5,SC-28",3.4,https://kafka.apache.org/documentation/#connect_configs
KAFKA-CONNECT-003,Kafka Connect Security,Connect RBAC,"Secure Connect REST API access. Note: Apache Kafka Connect lacks built-in REST RBAC; requires custom RestExtension, reverse proxy with OAuth, or Confluent Platform RBAC.",Ecosystem,"862,863","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#connect_security
KAFKA-CONNECT-004,Kafka Connect Security,Connect REST API TLS,"Enable HTTPS for Kafka Connect REST endpoints (listeners=https://) and configure ssl.* settings.",Ecosystem,"319,311","SC-8,SC-13",4.1,https://kafka.apache.org/documentation/#connect_security
KAFKA-CONNECT-005,Kafka Connect Security,Connector Config Override Policy,"Set connector.client.config.override.policy=None or a restrictive policy to prevent connectors from weakening security settings.",Ecosystem,"284","AC-6",7.1,https://kafka.apache.org/documentation/#connect_configs
KAFKA-CONNECT-006,Kafka Connect Security,Connector Plugin Allowlist,"Restrict plugin.path to approved connector directories and enforce read-only permissions to prevent untrusted plugins.",Ecosystem,"829","CM-7,SI-7",2.2,https://kafka.apache.org/documentation/#connect_configs
KAFKA-SR-001,Schema Registry Security,Schema Registry Authentication,"Enable authentication for Schema Registry API. Use HTTPS with client certificates or bearer tokens.",Ecosystem,"287,306","IA-2,IA-5",8.2,https://docs.confluent.io/platform/current/schema-registry/security/index.html
KAFKA-SR-002,Schema Registry Security,Schema Authorization,"Implement schema-level authorization. Restrict who can register or evolve schemas.",Ecosystem,"862,863","AC-3,AC-6",7.1,https://docs.confluent.io/platform/current/schema-registry/security/index.html
KAFKA-SR-003,Schema Registry Security,Schema Registry TLS,"Enable HTTPS for Schema Registry API and secure Kafka store connection using kafkastore.security.protocol and ssl.* settings.",Ecosystem,"319,311","SC-8,SC-13",4.1,https://docs.confluent.io/platform/current/schema-registry/security/index.html
KAFKA-SR-004,Schema Registry Security,Compatibility Enforcement,"Set schema compatibility mode (BACKWARD/FULL/TRANSITIVE) and restrict schema deletions to prevent breaking changes.",Ecosystem,"20","CM-3,SI-10",6.4,https://conduktor.io/glossary/schema-evolution-best-practices
KAFKA-REST-001,Kafka REST Proxy Security,REST Proxy Authentication,"Enable authentication and TLS for Kafka REST Proxy endpoints.",Ecosystem,"287,306,319","IA-2,IA-5,SC-8",8.2,https://docs.confluent.io/platform/current/kafka-rest/security.html
KAFKA-MM2-001,MirrorMaker 2 Security,Secure Replication,"Secure MirrorMaker 2 with TLS/SASL and least-privilege ACLs on source and target clusters.",Ecosystem,"287,306,862,319","IA-2,AC-3,SC-8",8.2,https://kafka.apache.org/documentation/#mirrormaker2
KAFKA-DATA-001,Data Protection,Message Encryption,"Implement application-level message encryption for sensitive data fields.",Data Protection,"311,312","SC-28,SC-13",3.4,https://kafka.apache.org/documentation/#security
KAFKA-DATA-002,Data Protection,Key Management,"Use dedicated key management systems (HashiCorp Vault, AWS KMS) for encryption keys.",Data Protection,"321","SC-12,SC-17","3.5,3.6",https://kafka.apache.org/documentation/#security
KAFKA-DATA-003,Data Protection,Data Masking,"Implement data masking for sensitive fields in non-production environments.",Data Protection,"200,359","AC-4,SC-28",3.4,https://kafka.apache.org/documentation/#security
KAFKA-DATA-004,Data Retention,Topic Retention,"Configure appropriate retention.ms based on data classification and compliance requirements.",Data Protection,"212","AU-11",3.1,https://kafka.apache.org/documentation/#topicconfigs_retention.ms
KAFKA-DATA-005,Data Retention,Compacted Topics,"Use log compaction for topics requiring data erasure capabilities (GDPR right to be forgotten).",Data Protection,"212","MP-6",3.1,https://kafka.apache.org/documentation/#compaction
KAFKA-DATA-006,Data Classification,Classification and Tagging,"Define data classification levels and tag events using schema metadata or Kafka headers to drive retention and access policies.",Data Protection,"200,359","AC-16,RA-2",3.2,https://conduktor.io/glossary/data-classification-and-tagging-strategies
KAFKA-DATA-007,Data Protection,PII Detection and Quarantine,"Detect PII in streams (regex/ML/schema tags) and route to quarantine or apply masking/tokenization before non-PII topics.",Data Protection,"200,359","SI-4,SC-28",3.4,https://conduktor.io/glossary/pii-detection-and-handling-in-event-streams
KAFKA-DATA-008,Data Protection,PII Redaction in Logs,"Redact or avoid logging message payloads containing PII in application logs, traces, and monitoring tools.",Data Protection,"532,359","AU-3,AU-9",10.5,https://conduktor.io/glossary/pii-leakage-prevention
KAFKA-DATA-009,Data Contracts,Contract Enforcement,"Define and enforce data contracts (schema, quality rules, ownership) for Kafka topics to prevent breaking changes.",Data Protection,"20","SI-10,CM-3",6.5,https://conduktor.io/glossary/data-contracts-for-reliable-pipelines
KAFKA-DATA-010,Data Quality,Streaming Validation Rules,"Apply streaming data quality rules (completeness, ranges, freshness) and alert on violations to prevent bad data propagation.",Data Protection,"20","SI-10,AU-6",10.4,https://conduktor.io/glossary/building-a-data-quality-framework
KAFKA-DATA-011,Data Lineage,Lineage Tracking,"Capture end-to-end data lineage for sensitive topics, schema versions, and processors to support audits and impact analysis.",Data Protection,"778,223","AU-3,AU-12",10.2,https://conduktor.io/glossary/data-lineage-tracking-data-from-source-to-consumption
KAFKA-DATA-012,Metadata Management,Data Catalog,"Register Kafka topics, schemas, ownership, and classifications in a data catalog to support discovery and access reviews.",Data Protection,,"AC-2,CM-8",,https://conduktor.io/glossary/what-is-a-data-catalog-modern-data-discovery
KAFKA-DATA-013,Data Protection,Tokenization and Anonymization,"Apply tokenization or format-preserving encryption (FPE) for high-sensitivity fields before sharing data across zones or third parties.",Data Protection,"359,312","SC-28,MP-6",3.4,https://conduktor.io/glossary/data-masking-and-anonymization-for-streaming
KAFKA-OPS-001,Operational Security,Security Updates,"Maintain regular patching schedule for Kafka brokers and client libraries. Subscribe to Kafka security mailing list and monitor CVE databases.",Operations,"1104","SI-2,CM-3",6.3,https://kafka.apache.org/downloads
KAFKA-OPS-002,Operational Security,Configuration Hardening,"Remove default accounts, disable unnecessary features, and secure JMX endpoints.",Operations,"1188,798","CM-6,CM-7",2.2,https://kafka.apache.org/documentation/#security
KAFKA-OPS-003,Operational Security,JMX Security,"Secure JMX endpoints with authentication and TLS. Restrict access to monitoring systems only.",Operations,"306,287,319","IA-2,SC-8,AC-3","8.2,4.1",https://kafka.apache.org/documentation/#monitoring
KAFKA-OPS-004,Operational Security,Admin Client Security,"Secure kafka-*.sh admin tools. Restrict access to authorized personnel only.",Operations,"306,862","AC-3,AC-6",7.1,https://kafka.apache.org/documentation/#security
KAFKA-OPS-005,Operational Security,Backup Security,"Encrypt backups of Kafka data and configurations. Secure backup storage locations.",Operations,"311,312","CP-9,SC-28",3.4,https://kafka.apache.org/documentation/#operations
KAFKA-OPS-006,Operational Security,Secret Externalization,"Use config.providers to externalize sensitive configs (sasl.jaas.config, keystore/truststore passwords) from broker configs.",Operations,"522,798,312","IA-5,SC-28",3.4,https://kafka.apache.org/documentation/#configproviders
KAFKA-OPS-007,Operational Security,File System Permissions,"Run brokers as non-root and restrict filesystem permissions on log.dirs, config, keystore, and truststore files.",Operations,"732,276","AC-6,CM-6",2.2,https://kafka.apache.org/documentation/#security
KAFKA-OPS-008,Operational Security,Disable Auto Topic Creation,"Set auto.create.topics.enable=false to prevent unauthorized or accidental topic creation.",Operations,"284","CM-7",2.2,https://kafka.apache.org/documentation/#brokerconfigs
KAFKA-OPS-009,Operational Security,Infrastructure as Code,"Manage Kafka clusters, topics, ACLs, quotas, and connector configs via IaC/GitOps with code review and drift detection.",Operations,,"CM-2,CM-6",6.5,https://conduktor.io/glossary/infrastructure-as-code-for-kafka-deployments
KAFKA-OPS-010,Operational Security,Dead Letter Queues,"Configure DLQ topics and error handling for Kafka Connect and stream processors; include error context headers, retention, and ACLs for investigations.",Operations,,"SI-11,AU-6",10.4,https://conduktor.io/glossary/dead-letter-queues-for-error-handling
KAFKA-OPS-011,Operational Security,Incident Response Runbooks,"Maintain incident response runbooks for Kafka data incidents (schema violations, lag spikes, data quality issues) and conduct postmortems.",Operations,,"IR-4,IR-5",12.10,https://conduktor.io/glossary/data-incident-management-and-root-cause-analysis
KAFKA-MON-001,Monitoring,Security Metrics,"Monitor authentication failures, ACL denials, and quota violations via JMX metrics.",Monitoring,"778,223","AU-6,SI-4",10.4,https://kafka.apache.org/documentation/#monitoring
KAFKA-MON-002,Monitoring,Anomaly Detection,"Implement anomaly detection: monitor connections per client, bytes per client, offset jump detection. Use threshold-based alerts or tools like Prometheus with outlier detection.",Monitoring,"778,223","SI-4,AU-6",10.4,https://kafka.apache.org/documentation/#monitoring
KAFKA-MON-003,Monitoring,Alert Configuration,"Configure alerts for security-relevant events: auth failures, ACL changes, quota breaches.",Monitoring,"778,223","SI-4,AU-6",10.4,https://kafka.apache.org/documentation/#monitoring
KAFKA-MON-004,Monitoring,Certificate Expiry Alerts,"Alert on certificate expiry and TLS handshake failures for brokers and clients.",Monitoring,"324,223","SI-4,AU-6",10.6,https://kafka.apache.org/documentation/#monitoring
KAFKA-MON-005,Monitoring,Consumer Lag Monitoring,"Monitor consumer lag and lag growth rate; alert on SLA breaches for critical topics.",Monitoring,"778,223","SI-4,AU-6",10.6,https://conduktor.io/glossary/consumer-lag-monitoring
KAFKA-MON-006,Monitoring,Replication Health,"Alert on under-replicated partitions, offline partitions, and controller errors to detect durability risks.",Monitoring,"778,223","SI-4,AU-6",10.6,https://conduktor.io/glossary/kafka-cluster-monitoring-and-metrics
KAFKA-AUTH-013,Credential Management,Delegation Tokens,"Use delegation tokens for long-running applications (Kafka Streams, Spark, Flink) to avoid storing principal credentials. Configure delegation.token.master.key on brokers and manage tokens via kafka-delegation-tokens.sh.",Authentication,"287,522","IA-5,IA-2",8.2,https://kafka.apache.org/documentation/#security_delegation_token
KAFKA-AUTH-014,SASL Authentication,Connection Re-authentication,"Force periodic re-authentication using connections.max.reauth.ms to limit exposure from compromised credentials. Configure sasl.login.refresh.* on clients for credential refresh. Requires Kafka 2.2+.",Authentication,"287,613","IA-5,IA-11",8.2,https://kafka.apache.org/documentation/#security_sasl
KAFKA-KRAFT-003,KRaft Security,Metadata Log Protection,"Secure metadata.log.dir with restricted filesystem permissions (700). Metadata contains cluster state including ACLs and topic configurations.",Infrastructure,"732,276","AC-6,CM-6",2.2,https://kafka.apache.org/documentation/#kraft_config
